Embedding,Tagging Scheme,Capitalisation Dim,Lower,Char LSTM Dim,Word LSTM Dim,Average F1 Score,Average F1 Score Without Outliers,Standard Deviation
FastText,iob,FALSE,FALSE,25,100,53.71,53.71,1.76
FastText,iob,FALSE,FALSE,25,200,53.58,53.58,0.98
FastText,iob,FALSE,FALSE,50,100,54.78,54.97,1.62
FastText,iob,FALSE,FALSE,50,200,54.37,54.37,1.36
FastText,iob,TRUE,TRUE,25,100,62.93,63.43,2.29
FastText,iob,TRUE,TRUE,25,200,63.02,54.95,0.70
FastText,iob,TRUE,TRUE,50,100,63.66,63.66,0.82
FastText,iob,TRUE,TRUE,50,200,63.55,63.55,0.67
FastText,iobes,FALSE,FALSE,25,100,54.22,54.22,1.35
FastText,iobes,FALSE,FALSE,25,200,53.70,53.95,1.54
FastText,iobes,FALSE,FALSE,50,100,54.42,54.42,1.49
FastText,iobes,FALSE,FALSE,50,200,54.18,54.17,1.14
FastText,iobes,TRUE,TRUE,25,100,63.13,63.13,0.81
FastText,iobes,TRUE,TRUE,25,200,63.65,63.65,1.09
FastText,iobes,TRUE,TRUE,50,100,63.15,63.15,1.36
FastText,iobes,TRUE,TRUE,50,200,63.70,63.70,1.22
Wang2Vec,iob,FALSE,FALSE,25,100,53.58,53.61,1.25
Wang2Vec,iob,FALSE,FALSE,25,200,53.00,53.00,0.95
Wang2Vec,iob,FALSE,FALSE,50,100,53.79,53.79,1.35
Wang2Vec,iob,FALSE,FALSE,50,200,53.74,53.74,1.36
Wang2Vec,iob,TRUE,TRUE,25,100,64.92,64.92,0.77
Wang2Vec,iob,TRUE,TRUE,25,200,64.75,64.75,0.91
Wang2Vec,iob,TRUE,TRUE,50,100,64.49,64.34,0.68
Wang2Vec,iob,TRUE,TRUE,50,200,64.72,64.72,0.80
Wang2Vec,iobes,FALSE,FALSE,25,100,54.33,54.33,1.03
Wang2Vec,iobes,FALSE,FALSE,25,200,51.32,53.93,11.75
Wang2Vec,iobes,FALSE,FALSE,50,100,53.98,53.98,1.55
Wang2Vec,iobes,FALSE,FALSE,50,200,53.84,54.04,1.56
Wang2Vec,iobes,TRUE,TRUE,25, ,64.63,64.63,1.03
Wang2Vec,iobes,TRUE,TRUE,25,200,64.31,64.31,0.64
Wang2Vec,iobes,TRUE,TRUE,50,100,64.34,64.33,0.98
Wang2Vec,iobes,TRUE,TRUE,50,200,63.63,64.07,2.18
Glove,iob,FALSE,FALSE,25,100,51.66,51.66,1.23
Glove,iob,FALSE,FALSE,25,200,51.53,51.78,1.40
Glove,iob,FALSE,FALSE,50,100,51.53,51.78,1.65
Glove,iob,FALSE,FALSE,50,200,51.72,51.72,1.72
Glove,iob,TRUE,TRUE,25,100,60.33,60.33,0.82
Glove,iob,TRUE,TRUE,25,200,59.72,59.72,0.91
Glove,iob,TRUE,TRUE,50,100,60.20,60.20,0.98
Glove,iob,TRUE,TRUE,50,200,59.34,59.34,0.99
Glove,iobes,FALSE,FALSE,25,100,51.45,51.45,1.04
Glove,iobes,FALSE,FALSE,25,200,51.21,51.21,1.40
Glove,iobes,FALSE,FALSE,50,100,51.45,51.45,1.52
Glove,iobes,FALSE,FALSE,50,200,51.56,51.56,1.46
Glove,iobes,TRUE,TRUE,25,100,59.59,59.59,1.03
Glove,iobes,TRUE,TRUE,25,200,59.57,59.28,1.10
Glove,iobes,TRUE,TRUE,50,100,60.04,60.24,1.27
Glove,iobes,TRUE,TRUE,50,200,59.64,59.78,1.09
Word2Vec,iob,FALSE,FALSE,25,100,51.23,51.23,1.27
Word2Vec,iob,FALSE,FALSE,25,200,50.82,50.82,1.19
Word2Vec,iob,FALSE,FALSE,50,100,50.72,51.06,1.35
Word2Vec,iob,FALSE,FALSE,50,200,51.67,51.67,1.81
Word2Vec,iob,TRUE,TRUE,25,100,61.68,61.75,0.68
Word2Vec,iob,TRUE,TRUE,25,200,61.59,61.59,0.82
Word2Vec,iob,TRUE,TRUE,50,100,61.29,61.44,1.12
Word2Vec,iob,TRUE,TRUE,50,200,61.15,61.15,1.41
Word2Vec,iobes,FALSE,FALSE,25,100,50.23,50.23,1.73
Word2Vec,iobes,FALSE,FALSE,25,200,50.25,50.25,1.48
Word2Vec,iobes,FALSE,FALSE,50,100,50.98,50.76,1.78
Word2Vec,iobes,FALSE,FALSE,50,200,50.27,50.27,1.69
Word2Vec,iobes,TRUE,TRUE,25,100,60.19,60.19,1.06
Word2Vec,iobes,TRUE,TRUE,25,200,61.11,61.11,0.69
Word2Vec,iobes,TRUE,TRUE,50,100,60.17,60.17,0.98
Word2Vec,iobes,TRUE,TRUE,50,200,60.40,60.40,1.19
